1.0000000000,0.9999518394,0.9998176694,0.9995853305,0.9992917776,0.9690759778,0.9683744311,0.9672939777,0.9662169218,0.9649375081,0.8964220881,0.8938688636,0.8912732601,0.8885061145,0.8856827617,0.8034169078,0.7972991467,0.7916674614,0.7863649130,0.7814936042,0.6785320044,0.6679404974,0.6608094573,0.6541014910,0.6418654323
0.9999518394,1.0000000000,0.9999531507,0.9998040795,0.9995896220,0.9689828157,0.9684345722,0.9675000310,0.9665711522,0.9654397368,0.8964522481,0.8940584660,0.8916180730,0.8890127540,0.8863489032,0.8034886718,0.7975020409,0.7920005322,0.7868270278,0.7820833921,0.6787151694,0.6682145000,0.6611660719,0.6545388699,0.6423578262
0.9998176694,0.9999531507,1.0000000000,0.9999453425,0.9998137355,0.9687127471,0.9683138728,0.9675292373,0.9667543769,0.9657700658,0.8962298036,0.8939975500,0.8917132616,0.8892693520,0.8867661357,0.8032766581,0.7974303961,0.7920638919,0.7870321274,0.7824314237,0.6786849499,0.6682915092,0.6613409519,0.6548259258,0.6427200437
0.9995853305,0.9998040795,0.9999453425,1.0000000000,0.9999528527,0.9682706594,0.9680255055,0.9673969746,0.9667801857,0.9659479856,0.8958342075,0.8937680721,0.8916415572,0.8893626928,0.8870267868,0.8028903008,0.7971933484,0.7919706702,0.7870880365,0.7826405764,0.6784985065,0.6682219505,0.6613839269,0.6549984813,0.6429728866
0.9992917776,0.9995896220,0.9998137355,0.9999528527,1.0000000000,0.9677757621,0.9676731229,0.9671831131,0.9667094350,0.9660158157,0.8954358697,0.8935254812,0.8915525675,0.8894280791,0.8872390985,0.8026042581,0.7970442772,0.7919565439,0.7872130275,0.7829072475,0.6784248948,0.6682507992,0.6615309119,0.6552695036,0.6433157325
0.9690759778,0.9689828157,0.9687127471,0.9682706594,0.9677757621,1.0000000000,0.9997915626,0.9991399646,0.9981318712,0.9967755079,0.9685196877,0.9664685130,0.9639453292,0.9610357881,0.9577726722,0.8803737164,0.8730867505,0.8660947680,0.8591263890,0.8524026871,0.7411884069,0.7257949710,0.7140856385,0.7036434412,0.6887248158
0.9683744311,0.9684345722,0.9683138728,0.9680255055,0.9676731229,0.9997915626,1.0000000000,0.9997485280,0.9991377592,0.9981677532,0.9689980149,0.9674869180,0.9654862881,0.9630779028,0.9602983594,0.8812255859,0.8743841052,0.8678160906,0.8612528443,0.8549213409,0.7422453761,0.7271041274,0.7156494260,0.7054074407,0.6906415224
0.9672939777,0.9675000310,0.9675292373,0.9673969746,0.9671831131,0.9991399646,0.9997485280,1.0000000000,0.9997825623,0.9991866350,0.9689141512,0.9679273963,0.9664310217,0.9645152688,0.9622097611,0.8814985156,0.8750842810,0.8689252734,0.8627581596,0.8568114042,0.7427690625,0.7279054523,0.7167150974,0.7066824436,0.6920701861
0.9662169218,0.9665711522,0.9667543769,0.9667801857,0.9667094350,0.9981318712,0.9991377592,0.9997825623,1.0000000000,0.9997991920,0.9683613181,0.9678993821,0.9669182897,0.9655086994,0.9636947513,0.8812803626,0.8753190637,0.8695865870,0.8638414145,0.8583099246,0.7429684997,0.7283944488,0.7174795270,0.7076697946,0.6932307482
0.9649375081,0.9654397368,0.9657700658,0.9659479856,0.9660158157,0.9967755079,0.9981677532,0.9991866350,0.9997991920,1.0000000000,0.9673035741,0.9673501849,0.9668692350,0.9659580588,0.9646421671,0.8805276752,0.8750124574,0.8697137237,0.8643987775,0.8592952490,0.7427093387,0.7284446955,0.7178393602,0.7082821131,0.6940446496
0.8964220881,0.8964522481,0.8962298036,0.8958342075,0.8954358697,0.9685196877,0.9689980149,0.9689141512,0.9683613181,0.9673035741,1.0000000000,0.9995038509,0.9980738759,0.9958711267,0.9929268360,0.9551891088,0.9490036368,0.9425655007,0.9356446266,0.9284409881,0.8169493675,0.8000110984,0.7869966626,0.7760072351,0.7604553103
0.8938688636,0.8940584660,0.8939975500,0.8937680721,0.8935254812,0.9664685130,0.9674869180,0.9679273963,0.9678993821,0.9673501849,0.9995038509,1.0000000000,0.9995151758,0.9982029200,0.9961052537,0.9575439692,0.9524286389,0.9469807148,0.9409828186,0.9346342087,0.8215450644,0.8055076599,0.7933441997,0.7830359340,0.7679499388
0.8912732601,0.8916180730,0.8917132616,0.8916415572,0.8915525675,0.9639453292,0.9654862881,0.9664310217,0.9669182897,0.9668692350,0.9980738759,0.9995151758,1.0000000000,0.9995653033,0.9982928634,0.9586750865,0.9545872211,0.9501177073,0.9450418353,0.9395587444,0.8249550462,0.8098248243,0.7985396385,0.7889320254,0.7742950916
0.8885061145,0.8890127540,0.8892693520,0.8893626928,0.8894280791,0.9610357881,0.9630779028,0.9645152688,0.9655086994,0.9659580588,0.9958711267,0.9982029200,0.9995653033,1.0000000000,0.9995661378,0.9584732056,0.9553780556,0.9518775344,0.9477381706,0.9431473017,0.8268830180,0.8126681447,0.8022979498,0.7934435606,0.7793133855
0.8856827617,0.8863489032,0.8867661357,0.8870267868,0.8872390985,0.9577726722,0.9602983594,0.9622097611,0.9636947513,0.9646421671,0.9929268360,0.9961052537,0.9982928634,0.9995661378,1.0000000000,0.9571000338,0.9549735188,0.9524321556,0.9492368698,0.9455764294,0.8275235295,0.8142785430,0.8048685789,0.7968095541,0.7832494974
0.8034169078,0.8034886718,0.8032766581,0.8028903008,0.8026042581,0.8803737164,0.8812255859,0.8814985156,0.8812803626,0.8805276752,0.9551891088,0.9575439692,0.9586750865,0.9584732056,0.9571000338,1.0000000000,0.9989811182,0.9964855909,0.9925510883,0.9873057008,0.9324572682,0.9217562079,0.9121038914,0.9028964043,0.8902332783
0.7972991467,0.7975020409,0.7974303961,0.7971933484,0.7970442772,0.8730867505,0.8743841052,0.8750842810,0.8753190637,0.8750124574,0.9490036368,0.9524286389,0.9545872211,0.9553780556,0.9549735188,0.9989811182,1.0000000000,0.9991554618,0.9967649579,0.9929562211,0.9371115565,0.9286229014,0.9210519195,0.9135363698,0.9022139311
0.7916674614,0.7920005322,0.7920638919,0.7919706702,0.7919565439,0.8660947680,0.8678160906,0.8689252734,0.8695865870,0.8697137237,0.9425655007,0.9469807148,0.9501177073,0.9518775344,0.9524321556,0.9964855909,0.9991554618,1.0000000000,0.9992033243,0.9968834519,0.9390618205,0.9327965379,0.9275274277,0.9219157100,0.9120174050
