1.0000000000,0.9999518394,0.9998176694,0.9995853305,0.9690759778,0.9683744311,0.9672939777,0.9662169218,0.8964220881,0.8938688636,0.8912732601,0.8885061145,0.8034169078,0.7972991467,0.7916674614,0.7863649130
0.9999518394,1.0000000000,0.9999531507,0.9998040795,0.9689828157,0.9684345722,0.9675000310,0.9665711522,0.8964522481,0.8940584660,0.8916180730,0.8890127540,0.8034886718,0.7975020409,0.7920005322,0.7868270278
0.9998176694,0.9999531507,1.0000000000,0.9999453425,0.9687127471,0.9683138728,0.9675292373,0.9667543769,0.8962298036,0.8939975500,0.8917132616,0.8892693520,0.8032766581,0.7974303961,0.7920638919,0.7870321274
0.9995853305,0.9998040795,0.9999453425,1.0000000000,0.9682706594,0.9680255055,0.9673969746,0.9667801857,0.8958342075,0.8937680721,0.8916415572,0.8893626928,0.8028903008,0.7971933484,0.7919706702,0.7870880365
0.9690759778,0.9689828157,0.9687127471,0.9682706594,1.0000000000,0.9997915626,0.9991399646,0.9981318712,0.9685196877,0.9664685130,0.9639453292,0.9610357881,0.8803737164,0.8730867505,0.8660947680,0.8591263890
0.9683744311,0.9684345722,0.9683138728,0.9680255055,0.9997915626,1.0000000000,0.9997485280,0.9991377592,0.9689980149,0.9674869180,0.9654862881,0.9630779028,0.8812255859,0.8743841052,0.8678160906,0.8612528443
0.9672939777,0.9675000310,0.9675292373,0.9673969746,0.9991399646,0.9997485280,1.0000000000,0.9997825623,0.9689141512,0.9679273963,0.9664310217,0.9645152688,0.8814985156,0.8750842810,0.8689252734,0.8627581596
0.9662169218,0.9665711522,0.9667543769,0.9667801857,0.9981318712,0.9991377592,0.9997825623,1.0000000000,0.9683613181,0.9678993821,0.9669182897,0.9655086994,0.8812803626,0.8753190637,0.8695865870,0.8638414145
0.8964220881,0.8964522481,0.8962298036,0.8958342075,0.9685196877,0.9689980149,0.9689141512,0.9683613181,1.0000000000,0.9995038509,0.9980738759,0.9958711267,0.9551891088,0.9490036368,0.9425655007,0.9356446266
0.8938688636,0.8940584660,0.8939975500,0.8937680721,0.9664685130,0.9674869180,0.9679273963,0.9678993821,0.9995038509,1.0000000000,0.9995151758,0.9982029200,0.9575439692,0.9524286389,0.9469807148,0.9409828186
0.8912732601,0.8916180730,0.8917132616,0.8916415572,0.9639453292,0.9654862881,0.9664310217,0.9669182897,0.9980738759,0.9995151758,1.0000000000,0.9995653033,0.9586750865,0.9545872211,0.9501177073,0.9450418353
0.8885061145,0.8890127540,0.8892693520,0.8893626928,0.9610357881,0.9630779028,0.9645152688,0.9655086994,0.9958711267,0.9982029200,0.9995653033,1.0000000000,0.9584732056,0.9553780556,0.9518775344,0.9477381706
0.8034169078,0.8034886718,0.8032766581,0.8028903008,0.8803737164,0.8812255859,0.8814985156,0.8812803626,0.9551891088,0.9575439692,0.9586750865,0.9584732056,1.0000000000,0.9989811182,0.9964855909,0.9925510883
0.7972991467,0.7975020409,0.7974303961,0.7971933484,0.8730867505,0.8743841052,0.8750842810,0.8753190637,0.9490036368,0.9524286389,0.9545872211,0.9553780556,0.9989811182,1.0000000000,0.9991554618,0.9967649579
0.7916674614,0.7920005322,0.7920638919,0.7919706702,0.8660947680,0.8678160906,0.8689252734,0.8695865870,0.9425655007,0.9469807148,0.9501177073,0.9518775344,0.9964855909,0.9991554618,1.0000000000,0.9992033243
0.7863649130,0.7868270278,0.7870321274,0.7870880365,0.8591263890,0.8612528443,0.8627581596,0.8638414145,0.9356446266,0.9409828186,0.9450418353,0.9477381706,0.9925510883,0.9967649579,0.9992033243,1.0000000000
