Threshold,Edge_density,LCC_Size,Number_of_components
0.1,0.21224148838906448,18048,1
0.1090909090909091,0.21044543684595032,18048,1
0.1181818181818182,0.20783378197472557,18048,1
0.1272727272727273,0.20439550177688126,18048,1
0.13636363636363635,0.20017386143430846,18048,1
0.14545454545454545,0.1952508719843812,18048,1
0.15454545454545454,0.18970941639973166,18048,1
0.16363636363636364,0.18366764804822083,18048,1
0.17272727272727273,0.17723332461889307,18048,1
0.18181818181818182,0.1704690166771004,18048,1
0.19090909090909092,0.1634664063731148,18048,1
0.2,0.15630750474431027,18048,1
0.2090909090909091,0.14907951145688542,18048,1
0.2181818181818182,0.14183851282525886,18048,1
0.22727272727272727,0.13470572013108403,18048,1
0.23636363636363636,0.12771684587760798,18048,1
0.24545454545454545,0.12090984995050355,18048,1
0.2545454545454545,0.11434915117225432,18048,1
0.26363636363636367,0.10808707179873514,18048,1
0.2727272727272727,0.1020875800264636,18048,1
0.28181818181818186,0.0963555697455855,18048,1
0.2909090909090909,0.09089220763003772,18048,1
0.3,0.085718917497535,18048,1
0.3090909090909091,0.08081820537941317,18048,1
0.3181818181818182,0.07617672821006773,18048,1
0.32727272727272727,0.07176502440239768,18048,1
0.33636363636363636,0.06759760369594443,18048,1
0.34545454545454546,0.06366290987834367,18048,1
0.3545454545454545,0.05994026211896675,18048,1
0.36363636363636365,0.056420044568418086,18048,1
0.3727272727272727,0.05310996955545941,18048,1
0.38181818181818183,0.050021943294636106,18048,1
0.3909090909090909,0.04716436583829379,18048,1
0.4,0.044513357213061086,18048,1
0.40909090909090906,0.04206499985066574,18048,1
0.4181818181818182,0.039807835784969665,18048,1
0.42727272727272725,0.037726133338992315,18048,1
0.4363636363636364,0.03579580376613154,18048,1
0.44545454545454544,0.033990467954635395,18048,1
0.4545454545454546,0.032298207409180206,18048,1
0.4636363636363636,0.030708522064333988,18048,1
0.47272727272727266,0.029208498681732135,18048,1
0.4818181818181818,0.027788171409797977,18048,1
0.49090909090909085,0.026444077069055702,18048,1
0.5,0.025170013866472375,18048,1
0.509090909090909,0.023965871275043453,18048,1
0.5181818181818182,0.022813129881118135,18048,1
0.5272727272727272,0.02171308530680528,18048,1
0.5363636363636364,0.02066810160192437,18048,1
0.5454545454545454,0.019669668187125264,18046,2
0.5545454545454546,0.018714806973674333,18046,2
0.5636363636363636,0.017794823170547196,18046,2
0.5727272727272728,0.016919234380913195,18046,2
0.5818181818181818,0.016085105498762686,18046,2
0.5909090909090909,0.015289857560656237,18046,2
0.6,0.014532471261996355,18046,2
0.609090909090909,0.013801949165830591,18046,2
0.6181818181818182,0.013111965918777094,18046,2
0.6272727272727272,0.012452346896028376,18046,2
0.6363636363636364,0.011827390369983499,18046,2
0.6454545454545454,0.01122560767255869,18046,2
0.6545454545454545,0.010654195339827801,18046,2
0.6636363636363636,0.010101947161607576,18045,3
0.6727272727272727,0.009570821922034152,18045,3
0.6818181818181818,0.009069029321389735,18045,3
0.6909090909090908,0.008595470230017995,18045,3
0.7,0.008142063895808698,18045,3
0.709090909090909,0.00770545766629058,18044,4
0.7181818181818181,0.007278264653326401,18042,6
0.7272727272727272,0.00686230855249119,18038,7
0.7363636363636363,0.00646527099060098,18038,7
0.7454545454545454,0.006083787034406221,18035,11
0.7545454545454545,0.005727079548397467,18034,12
0.7636363636363636,0.00538725199213873,18029,17
0.7727272727272727,0.005057439410569801,18028,18
0.7818181818181817,0.004734055816432035,18022,23
0.7909090909090909,0.004420103860015633,18020,26
0.7999999999999999,0.004123050254516674,18015,29
0.8090909090909091,0.003835465129073927,18004,41
0.8181818181818181,0.0035557642632888828,17998,45
0.8272727272727273,0.0032871160979585615,17990,52
0.8363636363636363,0.0030295451946395287,17955,62
0.8454545454545453,0.0027806383803991707,17929,74
0.8545454545454545,0.002533917544693191,17915,88
0.8636363636363635,0.0022968555411068104,17900,102
0.8727272727272727,0.002073695378536815,17847,136
0.8818181818181817,0.001864639689824874,17814,172
0.8909090909090909,0.0016686937319300627,17719,208
0.8999999999999999,0.0014836592455397197,17327,277
0.9090909090909091,0.001302419519638831,17055,380
0.9181818181818181,0.0011346886498492705,16926,521
0.9272727272727272,0.0009754130959075731,16618,731
0.9363636363636363,0.000819269140428047,16030,971
0.9454545454545454,0.0006705918981446004,15341,1320
0.9545454545454545,0.0005200295563947094,12098,1823
0.9636363636363636,0.00037215056469965934,6171,2561
0.9727272727272727,0.0002485076889461599,3821,3627
0.9818181818181817,0.00017287651589014815,1029,5743
0.9909090909090909,9.13874115931333e-05,192,12100
1.0,0,1,18048
